Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,250000.000000,255000.000000,247500.000000,253000.000000,240313.906250,294947
2017-01-03,255000.000000,264000.000000,254000.000000,262000.000000,248862.625000,253540
2017-01-04,263000.000000,269000.000000,262000.000000,268500.000000,255036.703125,255597
2017-01-05,267000.000000,268500.000000,265000.000000,267500.000000,254086.828125,148537
2017-01-06,268000.000000,268500.000000,265000.000000,266000.000000,252662.031250,84524
2017-01-09,264500.000000,267000.000000,261500.000000,264500.000000,251237.265625,124839
2017-01-10,266500.000000,270500.000000,266000.000000,267500.000000,254086.828125,192011
2017-01-11,269000.000000,281000.000000,268000.000000,280000.000000,265960.062500,559100
2017-01-12,281000.000000,287000.000000,278500.000000,285000.000000,270709.312500,321519
2017-01-13,283000.000000,287500.000000,281000.000000,283000.000000,268809.656250,283435
2017-01-16,282000.000000,283500.000000,278000.000000,278500.000000,264535.281250,198568
2017-01-17,278000.000000,284000.000000,276000.000000,278500.000000,264535.281250,218884
2017-01-18,278000.000000,278500.000000,270000.000000,271500.000000,257886.250000,305022
2017-01-19,272000.000000,274000.000000,265500.000000,270500.000000,256936.406250,283405
2017-01-20,266000.000000,267000.000000,259000.000000,261000.000000,247912.750000,424426
2017-01-23,262000.000000,265500.000000,261000.000000,265500.000000,252187.125000,201425
2017-01-24,264000.000000,264500.000000,260500.000000,263000.000000,249812.484375,167168
2017-01-25,265000.000000,266000.000000,262000.000000,263500.000000,250287.390625,129004
2017-01-26,264500.000000,274500.000000,262500.000000,270000.000000,256461.484375,325835
2017-01-31,268500.000000,270000.000000,262000.000000,262000.000000,248862.625000,324050
2017-02-01,265000.000000,273000.000000,265000.000000,272500.000000,258836.109375,249084
2017-02-02,272500.000000,279500.000000,272500.000000,274500.000000,260735.828125,313439
2017-02-03,276000.000000,277000.000000,271500.000000,275500.000000,261685.671875,192256
2017-02-06,280000.000000,282000.000000,277000.000000,277500.000000,263585.437500,202277
2017-02-07,278500.000000,278500.000000,271500.000000,273000.000000,259311.046875,165682
2017-02-08,273000.000000,274000.000000,268000.000000,270500.000000,256936.406250,162108
2017-02-09,273000.000000,275000.000000,270500.000000,272000.000000,258361.187500,165764
2017-02-10,275000.000000,281500.000000,274000.000000,281000.000000,266909.906250,371551
2017-02-13,282000.000000,282500.000000,279000.000000,279500.000000,265485.125000,190988
2017-02-14,281500.000000,282000.000000,274500.000000,277000.000000,263110.500000,242951
2017-02-15,278500.000000,283000.000000,278000.000000,282000.000000,267859.750000,229913
2017-02-16,283500.000000,283500.000000,274500.000000,275000.000000,261210.765625,322009
2017-02-17,273000.000000,278000.000000,273000.000000,277000.000000,263110.500000,162813
2017-02-20,274000.000000,278500.000000,272000.000000,278500.000000,264535.281250,198672
2017-02-21,279000.000000,280500.000000,276500.000000,278000.000000,264060.343750,186061
2017-02-22,281000.000000,283000.000000,279000.000000,279500.000000,265485.125000,254219
2017-02-23,281500.000000,284000.000000,279000.000000,284000.000000,269759.468750,309140
2017-02-24,285000.000000,285000.000000,279500.000000,281000.000000,266909.906250,276766
2017-02-27,282000.000000,283000.000000,277000.000000,282500.000000,268334.718750,201230
2017-02-28,281500.000000,284500.000000,279500.000000,283000.000000,268809.656250,212901
2017-03-02,286000.000000,288000.000000,282000.000000,287500.000000,273084.000000,411436
2017-03-03,287500.000000,287500.000000,278000.000000,282000.000000,267859.750000,381929
2017-03-06,279000.000000,280500.000000,272000.000000,275500.000000,261685.671875,415679
2017-03-07,275500.000000,279500.000000,275000.000000,277000.000000,263110.500000,153695
2017-03-08,273500.000000,277000.000000,271000.000000,273000.000000,259311.046875,296457
2017-03-09,274000.000000,274500.000000,269000.000000,269500.000000,255986.546875,274928
2017-03-10,268500.000000,269500.000000,264000.000000,266500.000000,253136.968750,369397
2017-03-13,267000.000000,270500.000000,266500.000000,269000.000000,255511.609375,169880
2017-03-14,273000.000000,277500.000000,272000.000000,274000.000000,260260.906250,269479
2017-03-15,274000.000000,276500.000000,273000.000000,276000.000000,262160.593750,178579
2017-03-16,279000.000000,282000.000000,277500.000000,278500.000000,264535.281250,222324
2017-03-17,279500.000000,279500.000000,274500.000000,279500.000000,265485.125000,207185
2017-03-20,279500.000000,283500.000000,278500.000000,283000.000000,268809.656250,188329
2017-03-21,285000.000000,296500.000000,285000.000000,295000.000000,280207.906250,526655
2017-03-22,293000.000000,295500.000000,288000.000000,290500.000000,275933.531250,295302
2017-03-23,295000.000000,299000.000000,287000.000000,287000.000000,272609.062500,355854
2017-03-24,290000.000000,290500.000000,285500.000000,286500.000000,272134.125000,232272
2017-03-27,286000.000000,289000.000000,281000.000000,282500.000000,268334.718750,270917
2017-03-28,285000.000000,294000.000000,284500.000000,292500.000000,277833.281250,264727
2017-03-29,296000.000000,300000.000000,294000.000000,299500.000000,284482.250000,370123
2017-03-30,298500.000000,300000.000000,293500.000000,297000.000000,282107.656250,162306
2017-03-31,298000.000000,300000.000000,294000.000000,294000.000000,279258.062500,250456
2017-04-03,296000.000000,297000.000000,290500.000000,293000.000000,278308.187500,206581
2017-04-04,290500.000000,292000.000000,283000.000000,283000.000000,268809.656250,364169
2017-04-05,285000.000000,287500.000000,279000.000000,284500.000000,270234.437500,286902
2017-04-06,283000.000000,288000.000000,280500.000000,284000.000000,269759.468750,186872
2017-04-07,285500.000000,287000.000000,281500.000000,284500.000000,270234.437500,144246
2017-04-10,284000.000000,284500.000000,279500.000000,281000.000000,266909.906250,123570
2017-04-11,280500.000000,284500.000000,277000.000000,280500.000000,266434.968750,163171
2017-04-12,283000.000000,283500.000000,280000.000000,282000.000000,267859.750000,122532
2017-04-13,282500.000000,282500.000000,274000.000000,274000.000000,260260.906250,295018
2017-04-14,273000.000000,276000.000000,272500.000000,274500.000000,260735.828125,109972
2017-04-17,274500.000000,282500.000000,274500.000000,278500.000000,264535.281250,133099
2017-04-18,278500.000000,280000.000000,275000.000000,276000.000000,262160.593750,100626
2017-04-19,277000.000000,278500.000000,270500.000000,270500.000000,256936.406250,254640
2017-04-20,276000.000000,280000.000000,275500.000000,279000.000000,265010.187500,346429
2017-04-21,279000.000000,281500.000000,278500.000000,280000.000000,265960.062500,161029
2017-04-24,284000.000000,286000.000000,281000.000000,281500.000000,267384.812500,174272
2017-04-25,283500.000000,283500.000000,276500.000000,279500.000000,265485.125000,176156
2017-04-26,282500.000000,284500.000000,279500.000000,279500.000000,265485.125000,258794
2017-04-27,281000.000000,283500.000000,277500.000000,281000.000000,266909.906250,171628
2017-04-28,276500.000000,279000.000000,273500.000000,274000.000000,260260.906250,211136
2017-05-02,273500.000000,278500.000000,273500.000000,275000.000000,261210.765625,237946
2017-05-04,275000.000000,279500.000000,275000.000000,276000.000000,262160.593750,160423
2017-05-08,276000.000000,280000.000000,275000.000000,280000.000000,265960.062500,314036
2017-05-10,283500.000000,285000.000000,277500.000000,278000.000000,264060.343750,352589
2017-05-11,281000.000000,286000.000000,279000.000000,285500.000000,271184.250000,318325
2017-05-12,287000.000000,289500.000000,285000.000000,287500.000000,273084.000000,201706
2017-05-15,289500.000000,289500.000000,284500.000000,285000.000000,270709.312500,145932
2017-05-16,286500.000000,289000.000000,285000.000000,285500.000000,271184.250000,172833
2017-05-17,285500.000000,287500.000000,282500.000000,284000.000000,269759.468750,152412
2017-05-18,280500.000000,282500.000000,276000.000000,280500.000000,266434.968750,201563
2017-05-19,280000.000000,284500.000000,280000.000000,282000.000000,267859.750000,152117
2017-05-22,281500.000000,288500.000000,281000.000000,287000.000000,272609.062500,305798
2017-05-23,286500.000000,292000.000000,286000.000000,289500.000000,274983.718750,240357
2017-05-24,292000.000000,292000.000000,288000.000000,290000.000000,275458.625000,113315
2017-05-25,292000.000000,296500.000000,291000.000000,296000.000000,281157.750000,298294
2017-05-26,300000.000000,306000.000000,298000.000000,304500.000000,289231.531250,538283
2017-05-29,306500.000000,311000.000000,306000.000000,309500.000000,293980.812500,400894
2017-05-30,309500.000000,309500.000000,304000.000000,306500.000000,291131.281250,260369
2017-05-31,306000.000000,308000.000000,300500.000000,302000.000000,286856.937500,263470
2017-06-01,301000.000000,305500.000000,301000.000000,303000.000000,287806.781250,196318
2017-06-02,303500.000000,304000.000000,294000.000000,294000.000000,279258.062500,424935
2017-06-05,292000.000000,294000.000000,289000.000000,291500.000000,276883.437500,292409
2017-06-07,294000.000000,294500.000000,289000.000000,290500.000000,275933.531250,291299
2017-06-08,290000.000000,292500.000000,286000.000000,289500.000000,274983.718750,390922
2017-06-09,291000.000000,297000.000000,290000.000000,292500.000000,277833.281250,371924
2017-06-12,293500.000000,296500.000000,288500.000000,289500.000000,274983.718750,191591
2017-06-13,293500.000000,297000.000000,291000.000000,292500.000000,277833.281250,269402
2017-06-14,289500.000000,290000.000000,280000.000000,281000.000000,266909.906250,669742
2017-06-15,280000.000000,280000.000000,274500.000000,276500.000000,262635.531250,361523
2017-06-16,276500.000000,283000.000000,276500.000000,278000.000000,264060.343750,289532
2017-06-19,277500.000000,279500.000000,275500.000000,279000.000000,265010.187500,157850
2017-06-20,279500.000000,280000.000000,275000.000000,275500.000000,261685.671875,165525
2017-06-21,273500.000000,281500.000000,270000.000000,280000.000000,265960.062500,281125
2017-06-22,280500.000000,287000.000000,278500.000000,287000.000000,272609.062500,331461
