Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,96565.601563,97193.820313,95668.156250,97104.070313,97104.070313,483116
2017-01-03,96655.351563,97104.070313,95219.429688,95668.156250,95668.156250,425727
2017-01-04,96027.132813,96027.132813,94321.976563,95219.429688,95219.429688,389969
2017-01-05,95488.664063,96475.859375,94950.195313,95488.664063,95488.664063,347682
2017-01-06,95039.937500,95398.921875,94232.234375,94501.468750,94501.468750,309255
2017-01-09,94591.210938,94950.195313,93245.039063,93245.039063,93245.039063,381342
2017-01-10,93604.015625,94052.742188,92886.062500,93245.039063,93245.039063,253489
2017-01-11,93873.250000,93963.000000,93065.546875,93245.039063,93245.039063,260765
2017-01-12,92975.804688,93065.546875,92078.351563,92078.351563,92078.351563,426180
2017-01-13,92168.101563,93514.273438,91988.609375,92168.101563,92168.101563,350585
2017-01-16,92437.335938,92706.570313,91629.632813,91629.632813,91629.632813,258774
2017-01-17,91539.882813,91898.867188,90462.945313,90642.437500,90642.437500,384919
2017-01-18,90821.921875,91809.117188,90732.179688,90911.671875,90911.671875,284362
2017-01-19,91270.648438,91629.632813,90193.710938,90193.710938,90193.710938,275751
2017-01-20,90193.710938,90462.945313,89744.984375,90193.710938,90193.710938,228578
2017-01-23,90103.960938,91270.648438,89834.726563,90193.710938,90193.710938,253432
2017-01-24,90283.453125,90462.945313,89296.257813,89386.007813,89386.007813,366845
2017-01-25,89744.984375,90552.687500,88847.531250,89744.984375,89744.984375,416232
2017-01-26,89744.984375,90014.218750,88757.789063,89924.476563,89924.476563,467142
2017-01-31,90373.195313,91180.906250,89924.476563,89924.476563,89924.476563,324427
2017-02-01,90462.945313,90642.437500,89565.492188,89744.984375,89744.984375,243551
2017-02-02,90014.218750,91360.390625,89655.242188,90283.453125,90283.453125,321096
2017-02-03,90732.179688,91898.867188,90193.710938,91091.156250,91091.156250,316230
2017-02-06,91539.882813,91719.375000,90642.437500,91001.414063,91001.414063,180000
2017-02-07,90821.921875,91091.156250,90103.960938,90193.710938,90193.710938,277135
2017-02-08,90283.453125,90462.945313,89565.492188,90462.945313,90462.945313,238349
2017-02-09,90283.453125,90642.437500,90014.218750,90103.960938,90103.960938,183415
2017-02-10,90193.710938,91719.375000,90193.710938,91360.390625,91360.390625,299653
2017-02-13,91719.375000,91809.117188,90911.671875,91180.906250,91180.906250,181289
2017-02-14,91001.414063,91180.906250,90103.960938,90193.710938,90193.710938,248041
2017-02-15,90462.945313,91450.140625,90283.453125,91091.156250,91091.156250,262328
2017-02-16,91629.632813,91629.632813,90642.437500,91270.648438,91270.648438,263006
2017-02-17,90373.195313,91091.156250,90373.195313,90552.687500,90552.687500,315190
2017-02-20,90732.179688,91091.156250,90462.945313,90462.945313,90462.945313,179137
2017-02-21,90552.687500,90821.921875,90373.195313,90642.437500,90642.437500,251085
2017-02-22,90732.179688,92437.335938,90014.218750,90732.179688,90732.179688,675830
2017-02-23,91539.882813,91898.867188,90821.921875,91091.156250,91091.156250,356536
2017-02-24,91360.390625,91539.882813,90373.195313,90373.195313,90373.195313,330386
2017-02-27,90552.687500,91898.867188,90552.687500,91091.156250,91091.156250,346104
2017-02-28,91539.882813,91719.375000,90642.437500,91091.156250,91091.156250,258227
2017-03-02,91539.882813,91539.882813,90462.945313,90642.437500,90642.437500,328189
2017-03-03,90642.437500,91001.414063,90103.960938,90642.437500,90642.437500,250860
2017-03-06,90373.195313,90911.671875,90103.960938,90373.195313,90373.195313,210773
2017-03-07,90283.453125,90462.945313,90014.218750,90014.218750,90014.218750,202689
2017-03-08,90193.710938,90373.195313,89475.750000,89565.492188,89565.492188,271979
2017-03-09,89655.242188,90103.960938,89027.023438,89027.023438,89027.023438,326492
2017-03-10,89116.765625,89206.515625,87680.851563,88578.296875,88578.296875,557769
2017-03-13,88309.062500,89116.765625,88219.320313,88398.812500,88398.812500,294330
2017-03-14,88129.578125,88668.046875,87770.593750,87950.085938,87950.085938,376043
2017-03-15,88219.320313,88578.296875,84898.757813,84898.757813,84898.757813,1272997
2017-03-16,84539.773438,86514.164063,84539.773438,86424.421875,86424.421875,549256
2017-03-17,86693.656250,86693.656250,82296.148438,82655.132813,82655.132813,1311461
2017-03-20,81757.679688,82206.406250,79155.078125,82116.664063,82116.664063,1697855
2017-03-21,81757.679688,83014.109375,80590.992188,80590.992188,80590.992188,927246
2017-03-22,81308.953125,82385.898438,80052.523438,80321.757813,80321.757813,1033911
2017-03-23,80501.250000,80860.234375,78526.859375,79065.328125,79065.328125,1193307
2017-03-24,79603.804688,80590.992188,78437.117188,80590.992188,80590.992188,965436
2017-03-27,80949.976563,82565.382813,80232.015625,81667.937500,81667.937500,836993
2017-03-28,82116.664063,82206.406250,80860.234375,81488.445313,81488.445313,417593
2017-03-29,81667.937500,81757.679688,80860.234375,80949.976563,80949.976563,357839
2017-03-30,81129.468750,81757.679688,80680.742188,81039.718750,81039.718750,398733
2017-03-31,80770.484375,81667.937500,80770.484375,80860.234375,80860.234375,289410
2017-04-03,80860.234375,80949.976563,80142.273438,80321.757813,80321.757813,511487
2017-04-04,80411.507813,81667.937500,80142.273438,81039.718750,81039.718750,530425
2017-04-05,81398.703125,81578.187500,80590.992188,81308.953125,81308.953125,308302
2017-04-06,81398.703125,81398.703125,80590.992188,81039.718750,81039.718750,247773
2017-04-07,81398.703125,81398.703125,80770.484375,80860.234375,80860.234375,224066
2017-04-10,80680.742188,80770.484375,79514.054688,79514.054688,79514.054688,451296
2017-04-11,79693.546875,80949.976563,79693.546875,80501.250000,80501.250000,365446
2017-04-12,80501.250000,81129.468750,80321.757813,80860.234375,80860.234375,262060
2017-04-13,81129.468750,81129.468750,80411.507813,80411.507813,80411.507813,299031
2017-04-14,80232.015625,80770.484375,79873.039063,79873.039063,79873.039063,311304
2017-04-17,80411.507813,81667.937500,79962.781250,81667.937500,81667.937500,331121
2017-04-18,81937.171875,82565.382813,81308.953125,81847.421875,81847.421875,455326
2017-04-19,82385.898438,82475.640625,81488.445313,82296.148438,82296.148438,327028
2017-04-20,82385.898438,82475.640625,81578.187500,81847.421875,81847.421875,240120
2017-04-21,81937.171875,82026.914063,80949.976563,81039.718750,81039.718750,312870
2017-04-24,80411.507813,80411.507813,79603.804688,79783.289063,79783.289063,526176
2017-04-25,80052.523438,80501.250000,79693.546875,79783.289063,79783.289063,353832
2017-04-26,80321.757813,80501.250000,79514.054688,80501.250000,80501.250000,488626
2017-04-27,80770.484375,80860.234375,79962.781250,79962.781250,79962.781250,303553
2017-04-28,80142.273438,80411.507813,79603.804688,80411.507813,80411.507813,289861
2017-05-02,80321.757813,80770.484375,79783.289063,79873.039063,79873.039063,251614
2017-05-04,80321.757813,80949.976563,79962.781250,80860.234375,80860.234375,382764
2017-05-08,82206.406250,85257.734375,82206.406250,85078.242188,85078.242188,1340545
2017-05-10,85975.695313,87770.593750,85885.953125,86603.906250,86603.906250,1102555
2017-05-11,86244.929688,87680.851563,85347.476563,85526.968750,85526.968750,822938
2017-05-12,86155.187500,86514.164063,84898.757813,85706.460938,85706.460938,434231
2017-05-15,85257.734375,86424.421875,85257.734375,86065.437500,86065.437500,324545
2017-05-16,86603.906250,86603.906250,85078.242188,85167.992188,85167.992188,373004
2017-05-17,85616.718750,85796.203125,84629.523438,84988.500000,84988.500000,287755
2017-05-18,84091.046875,84898.757813,83552.578125,84360.289063,84360.289063,359662
2017-05-19,84450.031250,85167.992188,84091.046875,85078.242188,85078.242188,251061
2017-05-22,85616.718750,85616.718750,84091.046875,84270.539063,84270.539063,268920
2017-05-23,84539.773438,84629.523438,83552.578125,83911.562500,83911.562500,317903
2017-05-24,84180.796875,85257.734375,84180.796875,85257.734375,85257.734375,444471
2017-05-25,85616.718750,85616.718750,84180.796875,84180.796875,84180.796875,358676
2017-05-26,84360.289063,85167.992188,83552.578125,84180.796875,84180.796875,456603
2017-05-29,84629.523438,84809.007813,83821.812500,84001.304688,84001.304688,364448
2017-05-30,84719.265625,85975.695313,84360.289063,85975.695313,85975.695313,653098
2017-05-31,86065.437500,86783.398438,85347.476563,85796.203125,85796.203125,699871
2017-06-01,86155.187500,86244.929688,84898.757813,85257.734375,85257.734375,480472
2017-06-02,86514.164063,87052.632813,85706.460938,86244.929688,86244.929688,531205
2017-06-05,86873.148438,87770.593750,86334.671875,87770.593750,87770.593750,837178
2017-06-07,88578.296875,89296.257813,88129.578125,88668.046875,88668.046875,1006943
2017-06-08,89475.750000,90014.218750,88937.281250,89475.750000,89475.750000,1082479
2017-06-09,90014.218750,91988.609375,89565.492188,91001.414063,91001.414063,1243386
2017-06-12,90642.437500,90911.671875,89475.750000,89744.984375,89744.984375,566281
2017-06-13,90103.960938,90462.945313,89206.515625,89655.242188,89655.242188,583684
2017-06-14,90462.945313,93783.507813,90373.195313,92257.843750,92257.843750,1123905
2017-06-15,93334.781250,93334.781250,90821.921875,92078.351563,92078.351563,665380
2017-06-16,92257.843750,93604.015625,91539.882813,93604.015625,93604.015625,699754
2017-06-19,94232.234375,97463.054688,93783.507813,97373.304688,97373.304688,1415710
2017-06-20,98360.500000,103924.695313,98181.015625,102578.515625,102578.515625,2768161
2017-06-21,102668.265625,103924.695313,98001.523438,103296.476563,103296.476563,1637669
