Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,15480.000000,15520.000000,15320.000000,15340.000000,15282.945313,715700
2017-01-03,15440.000000,16000.000000,15400.000000,16000.000000,15940.491211,2225900
2017-01-04,16080.000000,17020.000000,16060.000000,16860.000000,16797.292969,6121975
2017-01-05,17000.000000,17200.000000,16800.000000,16800.000000,16737.513672,3058565
2017-01-06,16880.000000,16900.000000,16440.000000,16740.000000,16677.738281,2054400
2017-01-09,16840.000000,16900.000000,16500.000000,16560.000000,16498.408203,1180180
2017-01-10,16520.000000,16700.000000,16300.000000,16400.000000,16339.002930,1646510
2017-01-11,16400.000000,16740.000000,16320.000000,16640.000000,16578.109375,1352440
2017-01-12,16700.000000,16740.000000,16380.000000,16380.000000,16319.077148,1258190
2017-01-13,16380.000000,16880.000000,16320.000000,16780.000000,16717.589844,2404660
2017-01-16,16880.000000,16900.000000,16480.000000,16520.000000,16458.558594,1022695
2017-01-17,16520.000000,16680.000000,16280.000000,16380.000000,16319.077148,1145540
2017-01-18,16440.000000,16520.000000,16060.000000,16220.000000,16159.672852,928620
2017-01-19,16140.000000,16460.000000,16100.000000,16460.000000,16398.781250,1231940
2017-01-20,16360.000000,16440.000000,16060.000000,16080.000000,16020.193359,1426405
2017-01-23,16000.000000,16060.000000,15680.000000,15800.000000,15741.235352,1693905
2017-01-24,15900.000000,15940.000000,15760.000000,15760.000000,15701.383789,895340
2017-01-25,15660.000000,15840.000000,15220.000000,15220.000000,15163.391602,2785085
2017-01-26,15240.000000,15540.000000,15240.000000,15420.000000,15362.648438,1581950
2017-01-31,15440.000000,15860.000000,15380.000000,15540.000000,15482.202148,1303895
2017-02-01,15640.000000,15780.000000,15600.000000,15680.000000,15621.681641,987550
2017-02-02,15820.000000,16000.000000,15520.000000,15540.000000,15482.202148,1428350
2017-02-03,15600.000000,15700.000000,15500.000000,15600.000000,15541.978516,891200
2017-02-06,15620.000000,15700.000000,15400.000000,15460.000000,15402.500000,845735
2017-02-07,15400.000000,15820.000000,15400.000000,15660.000000,15601.755859,866220
2017-02-08,15760.000000,15960.000000,15560.000000,15960.000000,15900.639648,1346460
2017-02-09,16340.000000,17140.000000,16260.000000,17080.000000,17016.474609,7753040
2017-02-10,17060.000000,17260.000000,16820.000000,17020.000000,16956.695313,3963705
2017-02-13,17080.000000,17100.000000,16740.000000,16820.000000,16757.439453,1988150
2017-02-14,16800.000000,17060.000000,16600.000000,16980.000000,16916.845703,2139255
2017-02-15,17020.000000,17120.000000,16820.000000,16980.000000,16916.845703,1606150
2017-02-16,16920.000000,16960.000000,16440.000000,16480.000000,16418.707031,2848615
2017-02-17,16480.000000,17060.000000,16480.000000,16940.000000,16876.996094,2818455
2017-02-20,16880.000000,17060.000000,16720.000000,16960.000000,16896.919922,1473840
2017-02-21,17140.000000,17820.000000,17140.000000,17680.000000,17614.240234,7868905
2017-02-22,17720.000000,18040.000000,17640.000000,17900.000000,17833.423828,5172445
2017-02-23,17820.000000,17900.000000,17520.000000,17580.000000,17514.613281,2539785
2017-02-24,17700.000000,17920.000000,17520.000000,17620.000000,17554.466797,1848345
2017-02-27,17500.000000,17580.000000,17140.000000,17160.000000,17096.175781,1653680
2017-02-28,17300.000000,17360.000000,16980.000000,17080.000000,17016.474609,2221520
