Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,28640.000000,28960.000000,28300.000000,28800.000000,24855.218750,541100
2017-01-03,28800.000000,28960.000000,28440.000000,28780.000000,24837.960938,1195200
2017-01-04,29020.000000,29040.000000,28500.000000,28800.000000,24855.218750,1854600
2017-01-05,28600.000000,28660.000000,28220.000000,28280.000000,24406.443359,2385700
2017-01-06,28600.000000,28760.000000,28460.000000,28620.000000,24699.873047,1237150
2017-01-09,28920.000000,29440.000000,28840.000000,29440.000000,25407.558594,1833900
2017-01-10,29380.000000,29540.000000,29300.000000,29540.000000,25493.859375,1644050
2017-01-11,29760.000000,30800.000000,29600.000000,30740.000000,26529.494141,2621100
2017-01-12,30360.000000,30800.000000,30360.000000,30740.000000,26529.494141,1633550
2017-01-13,30060.000000,30400.000000,29560.000000,29720.000000,25649.207031,2148400
2017-01-16,29420.000000,29860.000000,28800.000000,29320.000000,25303.992188,1719950
2017-01-17,29200.000000,29760.000000,29040.000000,29520.000000,25476.597656,930400
2017-01-18,29520.000000,29860.000000,29180.000000,29460.000000,25424.816406,1296550
2017-01-19,29960.000000,30180.000000,29440.000000,29680.000000,25614.683594,1753300
2017-01-20,29700.000000,29820.000000,29340.000000,29420.000000,25390.298828,701700
2017-01-23,29400.000000,30300.000000,29320.000000,30160.000000,26028.937500,1328150
2017-01-24,30340.000000,30660.000000,30260.000000,30440.000000,26270.583984,2635600
2017-01-25,30640.000000,31640.000000,30620.000000,31640.000000,27306.218750,79373100
2017-01-26,31680.000000,32360.000000,31640.000000,32300.000000,27875.818359,2376200
2017-01-31,32260.000000,32280.000000,31420.000000,31420.000000,27116.357422,2789900
2017-02-01,31420.000000,31720.000000,31220.000000,31300.000000,27012.791016,2662500
2017-02-02,31400.000000,31780.000000,31320.000000,31480.000000,27168.136719,1995000
2017-02-03,31500.000000,31580.000000,31200.000000,31320.000000,27030.050781,1885150
2017-02-06,31460.000000,31540.000000,30880.000000,31540.000000,27219.914063,1246000
2017-02-07,31540.000000,31540.000000,31000.000000,31200.000000,26926.484375,1398400
2017-02-08,31160.000000,31160.000000,30520.000000,30980.000000,26736.625000,1559800
2017-02-09,31020.000000,31280.000000,30720.000000,31120.000000,26857.447266,1301500
2017-02-10,31000.000000,31200.000000,30740.000000,30740.000000,26529.494141,1272000
2017-02-13,30600.000000,30680.000000,30200.000000,30460.000000,26287.847656,1121800
2017-02-14,30480.000000,30700.000000,30180.000000,30380.000000,26218.808594,1980350
2017-02-15,30180.000000,30440.000000,29820.000000,30280.000000,26132.501953,2145850
2017-02-16,30200.000000,30560.000000,30200.000000,30460.000000,26287.847656,1568950
2017-02-17,30000.000000,30340.000000,29780.000000,30140.000000,26011.675781,2182050
2017-02-20,30600.000000,30880.000000,30420.000000,30740.000000,26529.494141,1066350
2017-02-21,30840.000000,31240.000000,30580.000000,30960.000000,26719.359375,1936050
2017-02-22,30980.000000,31200.000000,30920.000000,31180.000000,26909.224609,908200
2017-02-23,30840.000000,31180.000000,30720.000000,31100.000000,26840.183594,1507700
2017-02-24,30940.000000,30960.000000,29960.000000,29960.000000,25856.333984,1428750
2017-02-27,29960.000000,30140.000000,29640.000000,29780.000000,25700.986328,868750
2017-02-28,29840.000000,30480.000000,29820.000000,29920.000000,25821.812500,2272050
2017-03-02,29920.000000,31340.000000,29860.000000,31340.000000,27047.310547,1981350
